AGE,MEAN
-70,-1.45954238683881
-60,-1.44591187481361
-50,-1.43228136278841
-40,-1.41865085076322
-30,-1.40502033873802
-20,-1.39138982671283
-10,-1.37775931468763
0,-1.36412880266244
10,-1.35049829063724
20,-1.33686777861205
30,-1.32323726658685
40,-1.30960675456166
50,-1.29597624253646
60,-1.28234573051127
70,-1.26871521848607
80,-1.25503154535685
90,-1.24124266272096
100,-1.22735023963045
110,-1.21335594513741
120,-1.19944992510856
130,-1.18581914240516
140,-1.1724604915711
150,-1.15937086715026
160,-1.1465471636865
170,-1.13398627572372
180,-1.12168509780578
190,-1.10964052447658
200,-1.09784945027997
210,-1.08630876975985
220,-1.07501537746009
230,-1.06396616792456
240,-1.05315803569716
250,-1.04258787532174
260,-1.0322525813422
270,-1.02214904830242
280,-1.01227417074626
290,-1.00262484321762
300,-0.993197960260347
310,-0.983990416418318
320,-0.974999106235391
330,-0.966220924255439
340,-0.957652765022323
350,-0.949291523079915
360,-0.941134092972075
370,-0.93323137966687
380,-0.925701758924887
390,-0.91855150866001
400,-0.911782713763247
410,-0.905397459125594
420,-0.899397829638049
430,-0.893785910191622
440,-0.888563785677306
450,-0.883723822305113
460,-0.879123546847219
470,-0.874710700948388
480,-0.870479440016064
490,-0.866423919457696
500,-0.862538294680726
510,-0.85875362240892
520,-0.855003690369092
530,-0.85128675047329
540,-0.847601054633565
550,-0.843944854761953
560,-0.840316402770505
570,-0.836713950571267
580,-0.833135750076286
590,-0.829580053197603
600,-0.826045111847264
610,-0.82252917793732
620,-0.81903050337981
630,-0.815547340086786
640,-0.812077939970287
650,-0.808620554942364
660,-0.805179412576322
670,-0.801779454505743
680,-0.798418998277222
690,-0.795092629574661
700,-0.791794934081955
710,-0.78852049748301
720,-0.785263905461719
730,-0.782019743701985
740,-0.778802621889915
750,-0.775720946720649
760,-0.77277316909751
770,-0.769937013365841
780,-0.767190203870989
790,-0.764523952319956
800,-0.761980976292725
810,-0.759575543650196
820,-0.757317827316633
830,-0.755218000216305
840,-0.753286235273477
850,-0.751532705412424
860,-0.749967583557408
870,-0.748601042632695
880,-0.747443255562556
890,-0.746504395271257
900,-0.745794634683068
910,-0.745324146722252
920,-0.745103104313082
930,-0.745141680379821
940,-0.745450047846736
950,-0.746022969183607
960,-0.746678874889256
970,-0.747364102421121
980,-0.748172011110573
990,-0.749209224667127
1000,-0.750497549380171
1010,-0.752058791539099
1020,-0.753914757433308
1030,-0.756087253352183
1040,-0.758598085585121
1050,-0.761469060421517
1060,-0.764721984150757
1070,-0.768378663062237
1080,-0.77246090344535
1090,-0.776990511589484
1100,-0.781989293784037
1110,-0.787479056318399
1120,-0.793481605481965
1130,-0.799878791729537
1140,-0.806498899111716
1150,-0.813338157643918
1160,-0.820393403110658
1170,-0.827661471296445
1180,-0.835139197985788
1190,-0.842823418963205
