SampleId;SEEDLE;ObjectId#;ProjArea;StraightLength;CurvedLength;StraightWidth;CurvedWidth;Curvature;VolCircle;VolEllipsoid;VolRectangle;VolConstPerim;SurfAreaCircle;SurfAreaEllipsoid;SurfAreaRectangle;SurfAreaConstPerim;SurfAreaPropPerim;WLRatio;HorizPosition;VertPosition;ProjPerimeter;ProjFormCoeff
97;SEEDLE;2;0.0363;0.3143;0.3334;0.1566;0.1596;0.1361;0.0036;0.0004;0.0005;0.0000;0.1136;0.0807;0.0795;0.0003;0.0361;0.4982;3.6212;1.8837;0.8119;0.6917
97;SEEDLE;3;0.0361;0.4126;0.4271;0.1185;0.1273;0.0246;0.0026;0.0003;0.0003;0.0000;0.1126;0.0800;0.0789;0.0004;0.0359;0.2872;4.0630;1.7445;1.0222;0.4343
97.5;SEEDLE;1;0.0344;0.6720;0.6748;0.0672;0.0673;0.0151;0.0015;0.0001;0.0002;0.0000;0.1082;0.0769;0.0758;0.0007;0.0344;0.1001;4.2415;2.0896;1.4612;0.2023
97.5;SEEDLE;2;0.0188;0.4634;0.4665;0.0734;0.0734;0.0490;0.0007;0.0001;0.0001;0.0000;0.0585;0.0416;0.0410;0.0005;0.0186;0.1583;4.8757;1.7907;1.0553;0.2116
98;SEEDLE;1;0.0245;0.3196;0.3611;0.1642;0.1604;0.0952;0.0018;0.0002;0.0002;0.0000;0.0800;0.0569;0.0561;0.0004;0.0255;0.5137;3.4865;1.4101;1.0077;0.3036
98.5;SEEDLE;1;0.0252;0.2952;0.3183;0.1217;0.1170;0.0894;0.0018;0.0002;0.0002;0.0000;0.0800;0.0569;0.0561;0.0003;0.0255;0.4123;3.6269;1.7318;0.8492;0.4389
99;SEEDLE;1;0.0948;0.9849;0.9920;0.1355;0.1370;0.0467;0.0076;0.0008;0.0010;0.0000;0.2974;0.2114;0.2083;0.0010;0.0947;0.1376;3.7036;1.9058;2.2684;0.2316
99;SEEDLE;2;0.0771;0.6701;0.6990;0.1728;0.2402;0.0625;0.0079;0.0008;0.0010;0.0000;0.2339;0.1662;0.1638;0.0007;0.0744;0.2578;3.7016;2.6262;1.8870;0.2723
99;SEEDLE;3;0.0621;0.5425;0.5627;0.1672;0.1645;0.0671;0.0060;0.0006;0.0008;0.0000;0.1942;0.1380;0.1360;0.0006;0.0618;0.3083;4.1410;1.3020;1.3644;0.4194
99;SEEDLE;4;0.0318;0.3335;0.3445;0.1359;0.1461;0.0790;0.0027;0.0003;0.0003;0.0000;0.0990;0.0704;0.0694;0.0003;0.0315;0.4075;4.3872;3.4128;0.8800;0.5160
99;SEEDLE;5;0.0362;0.6372;0.6399;0.0706;0.0728;0.0071;0.0017;0.0002;0.0002;0.0000;0.1128;0.0802;0.0790;0.0006;0.0359;0.1108;4.4534;2.8883;1.4239;0.2245
99;SEEDLE;6;0.0791;0.7675;0.7704;0.1326;0.1301;0.0059;0.0068;0.0007;0.0009;0.0000;0.2478;0.1761;0.1735;0.0008;0.0789;0.1728;4.5288;1.8835;1.7827;0.3127
99;SEEDLE;7;0.0225;0.8496;0.8584;0.0406;0.0428;0.0387;0.0005;0.0000;0.0001;0.0000;0.0706;0.0502;0.0495;0.0009;0.0225;0.0478;5.0979;2.4986;1.8541;0.0824
99;SEEDLE;8;0.0202;0.6075;0.6100;0.0589;0.0589;0.0075;0.0006;0.0001;0.0001;0.0000;0.0622;0.0442;0.0436;0.0006;0.0198;0.0969;5.2370;3.6461;1.4434;0.1219
99.5;SEEDLE;1;0.1636;0.6490;0.7012;0.4214;0.4064;0.1555;0.0393;0.0039;0.0050;0.0000;0.5283;0.3754;0.3699;0.0007;0.1682;0.6493;3.1713;2.4349;1.8994;0.5700
99.5;SEEDLE;2;0.2200;1.5327;1.5716;0.2542;0.2460;0.0475;0.0262;0.0026;0.0033;0.0000;0.6783;0.4820;0.4750;0.0016;0.2159;0.1658;4.0161;1.3220;4.1751;0.1586
99.5;SEEDLE;3;0.0162;0.5428;0.5442;0.0457;0.0457;0.0186;0.0004;0.0000;0.0001;0.0000;0.0509;0.0362;0.0357;0.0005;0.0162;0.0841;3.5905;2.9530;1.1887;0.1442
99.5;SEEDLE;4;0.0408;0.3840;0.3855;0.1493;0.1493;0.0374;0.0036;0.0004;0.0005;0.0000;0.1283;0.0912;0.0898;0.0004;0.0408;0.3888;3.6858;2.1994;0.9894;0.5238
99.5;SEEDLE;5;0.0192;0.3555;0.3585;0.1092;0.1067;0.0128;0.0010;0.0001;0.0001;0.0000;0.0593;0.0421;0.0415;0.0004;0.0189;0.3071;3.9895;1.9771;0.8762;0.3140
99.5;SEEDLE;6;0.0198;0.5173;0.5184;0.0471;0.0514;0.0124;0.0006;0.0001;0.0001;0.0000;0.0622;0.0442;0.0436;0.0005;0.0198;0.0910;4.1067;2.6629;1.1467;0.1892
99.5;SEEDLE;7;0.0451;0.6105;0.6165;0.1334;0.1326;0.0223;0.0032;0.0003;0.0004;0.0000;0.1407;0.1000;0.0985;0.0006;0.0448;0.2186;4.3730;2.2082;1.5303;0.2418
