"Age","FSindex","FS_Charly","FS_Rosalia","FS_Pikku"
-70,NA,NA,NA,NA
-60,NA,NA,NA,NA
-50,NA,NA,1.50924722306558,NA
-40,NA,NA,1.47672642754682,NA
-30,NA,NA,1.4462328746532,NA
-20,NA,NA,1.41762961229379,NA
-10,NA,NA,1.39077154932486,NA
0,NA,NA,1.36552046796317,NA
10,NA,NA,1.34178483532807,1.21120682127272
20,NA,NA,1.31944202781794,1.19707581117669
30,NA,NA,1.29841536166402,1.18397997183377
40,NA,NA,1.27861762405841,1.17190091122977
50,NA,NA,1.25995788412938,1.16080536309121
60,NA,NA,1.24238908817756,1.15058743993271
70,NA,NA,1.22582787153569,1.14116538143857
80,NA,NA,1.21022878108792,1.13256983692738
90,NA,NA,1.19553771048651,1.12492613839455
100,NA,NA,1.18169000040251,1.1181552050514
110,NA,NA,1.16866381119247,1.11214984010205
120,NA,NA,1.15619287082373,1.10687051276378
130,NA,NA,1.1440579523368,1.1023264225517
140,1.04048499965558,0.890685306291812,1.13224714476763,1.0985225479073
150,1.027667015394,0.866886570809349,1.12073122565987,1.09538324971278
160,1.01557442595121,0.844354563897839,1.10952139877871,1.09284731517708
170,1.00415926281732,0.822998266341463,1.0985889159064,1.09089060620411
180,0.993414806579337,0.802735352527578,1.08792924970199,1.08957981750845
190,0.983300016997089,0.783490980274222,1.07753554446329,1.08887352625376
200,0.973756425992501,0.765196961757257,1.06738096479736,1.08869135142289
210,0.964760863489692,0.747791042210053,1.05747885834687,1.08901268991216
220,0.956293751660852,0.731216270394711,1.04780440828231,1.08986057630554
230,0.948346130364042,0.715420447502361,1.03835222416182,1.09126571942795
240,0.940884102441398,0.700360105793517,1.02911918243589,1.09317301909479
250,0.933868194168501,0.685991209204088,1.02008030059944,1.09553307270198
260,0.927285365882434,0.672269996153901,1.01124979219247,1.09833630930093
270,0.921139596603572,0.659158160301806,1.00260614089408,1.10165448861483
280,0.915410403478245,0.646620942973066,0.994142654130542,1.10546761333113
290,0.910064695304318,0.634626173955605,0.985858953059798,1.10970895889755
300,0.905080102276561,0.623144035979319,0.977731681159389,1.11436458969097
310,0.900460842653802,0.612146854384128,0.969775005120241,1.11946066845704
320,0.896207379692574,0.601608908886053,0.961970277963641,1.12504295222803
330,0.892294706613979,0.591506264776426,0.954309397912822,1.13106845715269
340,0.888703681650909,0.581825215391596,0.946793936028757,1.13749189353237
350,0.885417368913447,0.572538866468225,0.939402105016997,1.14431113525512
360,0.88245640316662,0.563625456897339,0.932147344472467,1.15159640813005
370,0.879788053885628,0.555066739495393,0.925013552186938,1.15928386997455
380,0.877340706310762,0.546845659318817,0.917991325645502,1.16718513396797
390,0.875103151641043,0.538946237265425,0.91108351319833,1.17527970445938
400,0.873070554578608,0.531353486670026,0.904269937779308,1.18358823928649
