"Age","FFPikku","FFCharly","FFRosalia","FFmean"
-70,NA,NA,NA,NA
-60,NA,NA,NA,NA
-50,NA,NA,0.00335272934068677,NA
-40,NA,NA,0.00339543746347959,NA
-30,NA,NA,0.00343776519386526,NA
-20,NA,NA,0.00347966900158401,NA
-10,NA,NA,0.00352113178690549,NA
0,NA,NA,0.00356214726811751,NA
10,0.00324199437939315,NA,0.00360266603839275,NA
20,0.00327623154498073,NA,0.00364269325155953,NA
30,0.00330996231090517,NA,0.00368218608695348,NA
40,0.00334310458790708,NA,0.003721127500758,NA
50,0.00337559816885423,NA,0.00375951922020801,NA
60,0.0034074892114047,NA,0.00379730675809803,NA
70,0.00343880561245664,NA,0.00383450184270679,NA
80,0.00346953543983342,NA,0.00387106516688102,NA
90,0.00349951983965713,NA,0.00390697923978318,NA
100,0.00352878584518763,NA,0.00394225446461581,NA
110,0.00355741751801122,NA,0.00397683250913797,NA
120,0.00358540535925769,NA,0.00401073114408513,NA
130,0.00361266599160354,NA,0.00404391711639754,NA
140,0.00363912362300944,0.0039293233797273,0.00407637216414852,0.00388160638896175
150,0.00366484156692852,0.00398787502486896,0.00410811561364802,0.00392027740181517
160,0.00368986887794469,0.00404635195004084,0.0041390867658894,0.00395843586462497
170,0.00371419793833398,0.00410473327819815,0.00416930871044094,0.00399607997565769
180,0.00373766364602662,0.00416299755634353,0.00419875637557046,0.00403313919264687
190,0.00376029211445613,0.00422112338285327,0.0042274106148397,0.0040696087040497
200,0.00378218690525377,0.00427908942647961,0.00425529948211652,0.0041055252712833
210,0.00380335029225884,0.00433687444536274,0.00428236156910905,0.00414086210224354
220,0.00382370703382644,0.00439445730603644,0.00430862440871899,0.00417559624952729
230,0.00384316824231438,0.00445181700241139,0.00433407269848155,0.00420968598106911
240,0.0038618080048772,0.00450891539215531,0.0043586865204397,0.0042431366391574
250,0.00387969522585755,0.0045657293771653,0.00438250202159795,0.00427597554154027
260,0.00389682725698612,0.00462224935874255,0.00440545884393467,0.00430817848655445
270,0.00391304764129724,0.00467845784958552,0.00442758798373996,0.00433969782487424
280,0.00392837682706994,0.00473433490835788,0.00444888486338399,0.00437053219960394
290,0.00394292889810534,0.00478986084918901,0.00446932913102158,0.00440070629277198
300,0.0039567193374313,0.00484501625976773,0.00448896398388409,0.00443023319369437
310,0.00396968793555059,0.00489978201924713,0.00450773188985902,0.00445906728155225
320,0.00398173815630736,0.00495413931594459,0.00452566627601852,0.00448718124942349
330,0.00399294794997703,0.00500806966482051,0.00454277355905303,0.00451459705795019
340,0.00400340187813563,0.00506150669712447,0.00455903349599044,0.00454131402375018
350,0.00401310234878705,0.00511446319640094,0.00457449493784787,0.00456735349434529
360,0.00402191351920164,0.00516693428467154,0.00458910488057344,0.00459265089481554
