Depth;Age;Pinus;Picea;Betula;Alnus;Juniperus;Acer;Ulmus;Quercus;Empetrum Nigrum;Vaccinium;Salix;Ericaceae;Corylus;Fraxinus;Tilia;Calluna;Poaceae;Moneses;Thalictrum;Viola Polustris;Philipendula;Artemisia;Urtica;Humulus;Asteraceae;Chenopodiaceae;Rumex Acetosa;Apiaceae;Trifolium;Plantago major media;Rosaceae;Ranunculus acris;Gallium;Saxifraga;Epilobium;Cyperaceae;Lycopodium annotinum;Sphagnum;Driopteris;Typha;Potamogen;Nymphar;Isoetes;Charcoal;Fungi hyphae;Pinus + Fungi;FeS2;Ustilagum;Meliola;Glomus;Helicoon Ellipticum;Cercophora;Neurospora;;Betula pollen Coroded;POLLEN SUM;Sedimentation rate;Lycopodium count;Lycopodium tab added;Lycopodium per tablet;Lyc batch No.;Sample vol. ml
18;1168;3914.009745;1164.597992;1188.610321;24.01232972;0;0;0;0;0;0;0;60.03082431;0;0;0;0;24.01232972;0;0;0;0;12.00616486;0;0;0;0;0;0;0;0;0;0;0;0;0;84.04315404;0;192.0986378;24.01232972;0;0;0;0;1872.961719;2185.122005;0;0;0;0;0;0;0;0;0;0;6471.322861;;;;;;
18.5;1217;4110.670726;941.7635718;1501.731101;76.35920852;0;0;0;12.72653475;0;0;0;50.90613902;0;0;0;0;25.45306951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63.63267377;12.72653475;38.17960426;12.72653475;0;0;0;0;1985.339422;2328.95586;0;0;0;0;0;0;0;0;0;0;6783.243024;;;;;;
19;1268;4284.600034;947.4198095;1937.261401;70.70297086;28.28118834;0;0;28.28118834;0;0;0;98.9841592;0;0;0;0;70.70297086;0;0;0;14.14059417;14.14059417;0;0;0;0;0;0;0;0;0;0;0;0;0;42.42178251;14.14059417;127.2653475;28.28118834;0;0;0;0;2375.619821;2616.009922;0;0;0;0;0;0;0;0;0;0;7536.936693;;;;;;
19.5;1320.5;4966.452587;1195.052654;1769.298734;46.560493;0;0;0;0;0;0;0;46.560493;0;0;0;0;31.04032867;0;0;0;0;15.52016433;0;0;0;0;0;0;0;0;0;0;0;0;0;139.681479;0;108.6411503;31.04032867;0;0;0;0;2529.786786;2793.62958;0;31.04032867;0;0;0;0;0;0;0;0;8210.166933;;;;;;
20;1374;4826.771108;1257.133311;1815.859227;108.6411503;31.04032867;0;0;0;0;0;0;62.08065734;0;0;0;0;46.560493;0;0;0;15.52016433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46.560493;0;108.6411503;0;0;0;0;0;2809.149744;2964.351388;0;0;0;0;0;0;0;0;0;0;8210.166933;;;;;;
20.5;1427;3866.908637;893.3048433;1541.868634;36.71115794;12.23705265;0;0;0;0;0;0;36.71115794;0;0;0;0;48.94821059;0;0;0;0;12.23705265;0;0;0;0;0;0;0;0;0;0;0;0;0;36.71115794;0;36.71115794;0;0;0;0;12.23705265;2141.484213;2251.617687;0;24.4741053;0;0;0;0;0;0;0;0;6485.637903;;;;;;
21;1477;4208.433652;1156.957705;2068.061898;72.30985656;0;0;0;0;0;0;0;86.77182787;0;0;0;0;43.38591393;0;0;0;0;14.46197131;0;0;0;0;0;0;0;0;0;0;0;0;0;43.38591393;0;159.0816844;0;0;0;0;14.46197131;2458.535123;2675.464693;0;14.46197131;0;0;0;14.46197131;0;0;0;0;7693.768738;;;;;;
21.5;1528;3386.167283;1022.667971;1363.557295;79.54084221;0;0;0;0;0;0;0;90.90381967;0;0;0;0;34.08893238;0;0;0;0;0;0;0;0;0;0;0;0;11.36297746;0;0;0;0;0;34.08893238;0;136.3557295;0;0;0;0;0;1943.069145;2158.965717;0;11.36297746;0;0;0;0;0;0;0;0;6022.378053;;;;;;
22;1580;3934.836766;986.9557564;1688.213794;90.90381967;0;0;0;0;12.98625995;0;0;77.91755972;0;0;0;0;38.95877986;0;0;0;12.98625995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.97251991;0;103.8900796;25.97251991;0;0;0;0;2090.787852;2454.403131;0;12.98625995;0;0;0;0;0;0;0;0;6869.731515;;;;;;
22.5;1633;3930.25338;1060.544563;1472.285393;87.338964;37.43098457;12.47699486;0;0;0;0;0;87.338964;0;0;0;0;12.47699486;0;0;0;0;12.47699486;0;0;0;0;0;0;0;0;0;0;0;0;0;24.95398971;12.47699486;162.2009331;24.95398971;0;0;0;0;2008.796172;2283.290059;12.47699486;24.95398971;0;0;12.47699486;0;0;0;0;0;6737.577223;;;;;;
23;1684;4584.444906;1344.963332;1677.588672;101.2337992;0;0;0;0;0;0;0;115.6957705;0;0;0;0;43.38591393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43.38591393;0;115.6957705;0;0;0;0;0;2472.997094;2747.774549;0;0;0;0;0;0;0;0;0;0;7910.698307;;;;;;
23.5;1734.5;3017.420337;1016.070113;1375.28682;41.05333792;20.52666896;0;10.26333448;0;0;0;0;20.52666896;0;0;0;0;10.26333448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.26333448;0;0;0;61.58000687;0;61.58000687;0;0;0;0;0;1642.133517;1857.663541;0;10.26333448;0;0;0;0;0;0;0;0;5583.253957;;;;;;
