sample.id;depth;age;Pinus;Picea;Betula;Alnus;Juniperus;Salix;Ericaceae;Poaceae;Artemisia;Cyperaceae;Sphagnum
156;83.5;5462.5;65.81532417;0;30.64833006;1.964636542;0.196463654;0;0.589390963;0;0;0.196463654;0.972762646
157;84;5497;60.21699819;0;33.45388788;3.797468354;0.361663653;0;0.542495479;0.180831826;0;0.542495479;0.539568345
158;84.5;5532;66.40316206;0;30.63241107;2.173913043;0.395256917;0;0;0.395256917;0;0;0.197238659
159;85;5564;67.72908367;0;28.28685259;2.788844622;0;0;0.398406375;0.597609562;0;0.199203187;0.396825397
160;85.5;5598;63.81322957;0;33.46303502;1.556420233;0.194552529;0;0.194552529;0;0.194552529;0.194552529;0.963391137
161;86;5633;65.89147287;0;29.06976744;3.100775194;0.387596899;0.19379845;0.387596899;0.387596899;0;0.581395349;0.959692898
162;86.5;5665;64.62450593;0;33.00395257;1.581027668;0;0;0.395256917;0.197628458;0;0.197628458;0.393700787
163;87;5697;67.4;0.2;29.6;2.2;0.2;0;0;0.4;0;0;1.185770751
164;87.5;5732;66.13545817;0;31.87250996;1.792828685;0.199203187;0;0;0;0;0;0.790513834
165;88;5767;60.23856859;0;32.80318091;4.373757455;0.198807157;0.397614314;0.397614314;0.198807157;0;0.596421471;0.788954635
166;88.5;5803;63.81709742;0;33.99602386;1.391650099;0;0;0;0.198807157;0;0.198807157;0.198412698
167;89;5838;59.28143713;0.199600798;37.3253493;2.594810379;0;0;0.399201597;0;0;0.199600798;0.988142292
168;90;5912;57.7689243;0;38.84462151;2.19123506;0;0;0.398406375;0.199203187;0;0.398406375;0.198807157
169;91;5986.5;56.37450199;0;40.6374502;1.992031873;0.199203187;0;0.199203187;0.199203187;0;0.199203187;0.594059406
170;91.5;6026;60.7495069;0;36.29191321;2.366863905;0;0;0.197238659;0;0.197238659;0;0.196850394
171;92;6065.5;56.2745098;0;39.21568627;3.725490196;0.196078431;0;0.196078431;0.196078431;0;0.196078431;0.195694716
172;92.5;6105.5;60.7495069;0;36.29191321;2.169625247;0.197238659;0;0.197238659;0.197238659;0;0;0.392927308
173;93;6142.5;60;0;35;3.6;0.2;0;0.4;0.2;0;0;0
174;93.5;6179;60;0;36.8627451;2.549019608;0;0;0.196078431;0.196078431;0;0;0.195694716
175;94;6215;59.96015936;0.199203187;33.26693227;4.980079681;0.398406375;0;0.199203187;0.199203187;0.199203187;0.398406375;0.594059406
176;94.5;6252.5;64.96062992;0;31.69291339;2.165354331;0;0;0.393700787;0.196850394;0;0.393700787;0.392156863
177;95;6288.5;65.8;0;30.8;2.4;0.4;0;0.4;0;0;0.2;0.596421471
178;95.5;6326.5;61.06719368;0;35.96837945;1.976284585;0.395256917;0;0;0.197628458;0.197628458;0;0.393700787
179;96;6363;56.1752988;0.199203187;37.4501992;4.183266932;0.199203187;0;0.597609562;0.597609562;0;0.398406375;0.396825397
180;96.5;6398;59.12698413;0;35.71428571;4.365079365;0.396825397;0;0;0;0;0.198412698;0.982318271
181;97;6433;56.77290837;0.199203187;38.04780876;3.386454183;0.398406375;0;0.199203187;0.199203187;0.199203187;0.398406375;0.594059406
182;97.5;6468;58.08966862;0;37.42690058;3.703703704;0.389863548;0;0.194931774;0;0;0.194931774;0.581395349
183;98;6503.5;59.76095618;0;35.65737052;3.784860558;0;0;0.398406375;0.199203187;0;0;0.790513834
184;98.5;6541;63.61829026;0;32.4055666;3.37972167;0;0;0.198807157;0.198807157;0;0.198807157;1.178781925
185;99;6578;62.5498008;0.199203187;31.2749004;3.784860558;0.398406375;0;0.398406375;0.796812749;0;0.398406375;0.594059406
186;99.5;6615;60.4743083;0.197628458;35.96837945;2.766798419;0.197628458;0;0.197628458;0;0;0.197628458;0.589390963
187;100;6649;64.07185629;0;31.73652695;3.193612774;0;0;0.199600798;0.399201597;0;0.199600798;0.595238095
188;100.5;6684;62.57309942;0;34.69785575;2.339181287;0;0;0;0.194931774;0;0.194931774;0.388349515
189;101;6723.5;58.96414343;0;36.05577689;3.386454183;0.398406375;0;0.597609562;0.199203187;0;0.398406375;0.396825397
190;101.5;6759.5;61.85770751;0;34.98023715;2.56916996;0.197628458;0;0.197628458;0;0;0.197628458;0.589390963
191;102;6795;61.77606178;0;31.66023166;4.44015444;0.193050193;0;0;0.386100386;0.193050193;0.579150579;0.384615385
192;102.5;6829;61.81102362;0;34.84251969;2.362204724;0;0;0;0.196850394;0;0.196850394;0.392156863
193;103;6867;59.2;0;37;3.2;0.2;0;0;0.4;0;0;0.199600798
194;103.5;6902.5;61.1969112;0;36.67953668;1.930501931;0;0;0;0.193050193;0;0;0.575815739
195;104;6939;60.8;0;34;3.8;0.6;0;0;0.4;0;0;0.596421471
196;104.5;6976.5;60.91269841;0;34.72222222;3.373015873;0.198412698;0;0;0.198412698;0;0;0.591715976
