Depth;Age;Pinus;Picea;Betula;Alnus;Juniperus;Acer;Ulmus;Quercus;Empetrum Nigrum;Vaccinium;Salix;Ericaceae;Corylus;Fraxinus;Tilia;Calluna;Poaceae;Moneses;Thalictrum;Viola Polustris;Philipendula;Artemisia;Urtica;Humulus;Asteraceae;Chenopodiaceae;Rumex Acetosa;Apiaceae;Trifolium;Plantago major media;Rosaceae;Ranunculus acris;Brasicaceae;Gallium;Saxifraga;Epilobium;Cyperaceae;Lycopodium annotinum;Sphagnum;Driopteris;Typha;Potamogen;Nymphar;Isoetes;Charcoal;Fungi hyphae;Pinus + Fungi;FeS2;Ustilagum;Meliola;Glomus;Helicoon Ellipticum;Neurospora;Cercophora;Selaginella;plantago lanceolate;Gelasinospora;drosera rotundifolia;Pinus 1/2;Picea 1/2;Betula Coroded;POLLEN SUM;Sediment accrate;Lycopodium count;Lycopodium tab added;Lycopodium per tablet;Lyc batch No.;Sample vol., ml;Sample thickness, cm
88;6943;1395.226594;0;916.0578646;70.46598958;14.09319792;0;0;0;0;0;0;4.697732639;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.395465278;4.697732639;0;0;0;0;455.680066;850.2896076;0;0;0;0;0;0;0;0;0;0;0;0;873.7782708;0;0;2400.541378;;;;;;;
88.5;6962;1629.573256;0;1090.08996;66.74020163;0;0;0;0;0;0;0;0;0;0;0;0;5.561683469;0;0;5.561683469;0;0;0;0;5.561683469;0;0;0;0;0;0;0;0;0;0;0;0;0;11.12336694;11.12336694;0;0;0;0;628.470232;1051.158176;0;0;0;0;0;0;0;0;0;0;0;0;967.7329236;0;0;2803.088468;;;;;;;
89;6980;1176.861649;0;902.1239118;53.30732206;4.100563236;0;0;0;0;0;0;0;0;0;0;0;8.201126471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.100563236;0;4.100563236;12.30168971;0;0;0;0;336.2461853;750.4030721;0;0;0;0;0;0;0;0;0;0;0;0;647.8889912;0;0;2148.695135;;;;;;;
89.5;6998;1148.157706;0;844.7160265;61.50844853;8.201126471;0;0;0;0;0;0;4.100563236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.201126471;4.100563236;0;0;0;0;336.2461853;746.3025089;0;0;0;0;0;0;0;0;0;0;0;0;656.0901177;0;0;2066.683871;;;;;;;
90;7016;1157.247288;0;838.7018671;48.38664618;4.032220515;0;0;0;0;0;0;0;0;0;0;0;4.032220515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.032220515;0;8.06444103;12.09666154;0;0;0;0;322.5776412;770.1541184;0;0;0;0;0;0;0;0;0;0;0;0;653.2197234;0;0;2056.432463;;;;;;;
90.5;7037;1461.679937;0;1008.055129;60.48330772;0;0;0;0;0;0;0;10.08055129;0;0;0;0;5.040275644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.12082693;0;10.08055129;5.040275644;0;0;0;0;524.1886669;937.4912697;0;0;0;0;0;0;0;0;0;0;0;0;826.6052056;0;0;2560.460027;;;;;;;
91;7056;1318.773298;4.743788841;996.1956566;52.18167725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.743788841;0;0;4.743788841;0;0;0;0;0;0;0;0;0;0;0;0;0;18.97515536;0;0;0;0;0;464.8913064;887.0885133;0;0;0;0;0;0;0;0;0;0;0;0;777.9813699;0;0;2381.381998;;;;;;;
91.5;7075;1354.826093;0;1016.11957;53.2253108;4.838664618;0;0;0;0;0;4.838664618;4.838664618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.838664618;0;4.838664618;0;9.677329236;14.51599385;0;0;0;0;483.8664618;885.4756251;0;0;0;0;0;0;0;0;0;0;0;0;774.1863389;0;0;2448.364297;;;;;;;
92;7095;1723.77427;0;1282.246124;60.48330772;6.048330772;0;0;0;0;0;0;6.048330772;0;0;0;0;0;0;0;0;6.048330772;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.048330772;0;0;0;0;725.7996927;1106.844531;0;0;0;0;0;0;0;0;0;0;0;0;883.0562928;0;0;3084.648694;;;;;;;
92.5;7115;1265.829226;0;941.811506;60.48330772;8.640472532;0;0;0;0;0;0;8.640472532;0;0;0;0;0;0;0;4.320236266;0;0;0;0;4.320236266;0;0;0;0;0;0;0;0;0;0;0;8.640472532;0;0;0;0;0;0;0;380.1807914;786.2830004;0;0;0;0;0;0;0;0;0;0;0;0;596.1926047;0;0;2302.68593;;;;;;;
93;7134;1599.605597;0;1206.819881;56.92546609;11.38509322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.692546609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.38509322;22.77018644;0;0;0;0;654.6428601;1018.965843;0;0;0;0;0;0;0;0;0;0;0;0;785.5714321;0;0;2880.428584;;;;;;;
93.5;7152.5;1390.016381;0;774.1863389;43.98786016;0;0;4.398786016;0;0;0;0;4.398786016;0;0;0;0;4.398786016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.797572033;0;0;0;0;0;395.8907415;809.376627;0;0;0;0;0;0;0;0;0;0;0;0;615.8300423;0;0;2221.386938;;;;;;;
94;7170;1501.482526;0;922.8380972;64.84808251;4.988314039;0;0;0;0;0;0;0;0;0;0;0;4.988314039;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.988314039;0;14.96494212;9.976628078;0;0;0;0;513.796346;932.8147253;0;0;0;0;0;0;0;0;0;0;0;0;718.3172216;0;0;2504.133648;;;;;;;
94.5;7190;1552.205283;0;814.4286981;38.32605638;0;0;0;0;0;0;0;4.790757047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.37227114;9.581514095;0;0;0;0;474.2849477;895.8715679;0;0;0;0;0;0;0;0;0;0;0;0;747.3580994;0;0;2409.750795;;;;;;;
95;7208;1495.147367;0;929.0236066;33.87065233;0;0;0;0;0;0;4.838664618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.838664618;0;0;0;0;0;0;0;0;0;0;9.677329236;0;4.838664618;14.51599385;0;0;0;0;483.8664618;880.6369605;0;0;0;0;0;0;0;0;0;0;0;0;667.7357173;0;0;2477.396284;;;;;;;
95.5;7224;1625.160181;0;967.7329236;36.81592644;0;0;5.259418063;0;0;0;0;0;0;0;0;0;10.51883613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.51883613;0;5.259418063;15.77825419;0;0;0;0;568.0171508;988.7705958;0;0;0;0;0;0;0;0;0;0;0;0;788.9127095;0;0;2656.006122;;;;;;;
96;7244.5;1603.827036;0;1130.833978;27.18350909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.87340364;0;10.87340364;10.87340364;0;0;0;0;603.4739018;1038.410047;0;0;0;0;0;0;0;0;0;0;0;0;793.7584654;0;0;2772.717927;;;;;;;
96.5;7264;1086.838514;0;736.9658418;22.33229824;7.444099412;0;3.722049706;0;0;0;0;3.722049706;0;0;0;0;0;0;0;7.444099412;0;0;0;3.722049706;0;0;0;0;0;0;3.722049706;0;0;0;3.722049706;0;3.722049706;0;3.722049706;14.88819882;0;0;0;0;260.5434794;692.3012453;0;0;0;0;0;0;0;0;0;0;0;0;550.8633565;0;0;1883.357151;;;;;;;
