Depth;Age;Pinus;Picea;Betula;Alnus;Juniperus;Acer;Ulmus;Quercus;Empetrum Nigrum;Vaccinium;Salix;Ericaceae;Corylus;Fraxinus;Tilia;Calluna;Poaceae;Moneses;Thalictrum;Viola Polustris;Philipendula;Artemisia;Urtica;Humulus;Asteraceae;Chenopodiaceae;Rumex Acetosa;Apiaceae;Trifolium;Plantago major media;Rosaceae;Ranunculus acris;Gallium;Saxifraga;Epilobium;Cyperaceae;Lycopodium annotinum;Sphagnum;Driopteris;Typha;Potamogen;Nymphar;Isoetes;Charcoal;Fungi hyphae;Pinus + Fungi;FeS2;Ustilagum;Meliola;Glomus;Helicoon Ellipticum;Cercophora;Neurospora;;Betula pollen Coroded;POLLEN SUM;Sedimentation rate;Lycopodium count;Lycopodium tab added;Lycopodium per tablet;Lyc batch No.;Sample vol. ml
31;2243.5;54.77941176;15.80882353;26.28676471;1.102941176;0;0;0;0;0;0;0;0.919117647;0;0;0;0;0.735294118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.367647059;0;2.683363148;0.548446069;0;0;0;0;24.02234637;26.18724559;0;0;0;0;0;0;0;0;0;0;;;;;;;
31.5;2273;54.98154982;17.34317343;24.53874539;1.660516605;0;0;0;0;0;0;0;0.36900369;0;0;0;0;0.36900369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.73800738;0;3.90070922;0.914076782;0;0;0;0;24.61752434;26.75675676;0;0;0;0;0;0;0;0;0;0;;;;;;;
36.5;2529;52.71028037;14.76635514;27.6635514;1.308411215;0.186915888;0;0;0;0;0;0;1.682242991;0;0.373831776;0;0;0.560747664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.747663551;0;2.372262774;0.186567164;0;0;0;0;23.35243553;25.79750347;0;0;0;0;0;0;0;0;0;0;;;;;;;
37;2557.5;56.71077505;12.85444234;26.27599244;1.512287335;0;0;0;0;0.189035917;0;0;1.134215501;0;0;0;0;0.756143667;0;0;0;0;0.189035917;0;0;0;0;0;0;0;0;0;0;0;0;0;0.378071834;0.188679245;2.218114603;0.188679245;0;0;0;0;23.66522367;26.629681;0;0;0;0;0;0;0;0;0;0;;;;;;;
37.5;2585;57.24907063;13.01115242;27.69516729;0.557620818;0;0;0;0;0.185873606;0;0;0.557620818;0;0;0;0;0.185873606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.557620818;0;2.536231884;0.37037037;0;0;0;0;23.57954545;26.30136986;0;0;0;0;0;0;0;0;0;0;;;;;;;
38;2611.5;49.20634921;21.03174603;26.38888889;0.595238095;0.396825397;0;0;0.198412698;0;0;0;0.595238095;0;0;0;0;0.595238095;0;0;0;0;0.396825397;0;0;0;0;0;0;0;0;0;0;0;0;0;0.595238095;0;2.325581395;0;0;0;0;0;24.43778111;27.79369628;0;0.198019802;0;0;0;0;0;0;0;0;;;;;;;
38.5;2639;48.28244275;17.9389313;29.77099237;1.335877863;0.190839695;0;0;0;0;0;0;0.763358779;0;0;0;0;1.145038168;0;0;0;0.190839695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.381679389;0;2.23880597;0;0;0;0;0;24.38672439;27.5242047;0;0;0;0;0;0;0;0;0;0;;;;;;;
39;2666;50.69582505;19.08548708;26.64015905;1.391650099;0.198807157;0;0;0;0;0;0;0.596421471;0;0;0;0.397614314;0;0;0;0;0;0.397614314;0;0;0;0;0;0;0;0;0;0;0;0;0;0.596421471;0.198412698;1.37254902;0.198412698;0;0;0;0.198412698;25.26002972;27.83357245;0;0;0;0;0;0;0;0;0;0;;;;;;;
39.5;2693;51.08910891;20.1980198;25.34653465;0.594059406;0;0;0;0;0;0;0;0.792079208;0;0;0;0.198019802;0.594059406;0;0;0;0;0.198019802;0;0;0;0;0;0;0;0;0;0;0;0;0;0.99009901;0;1.750972763;0.394477318;0;0;0;0.197628458;24.73919523;27.6504298;0;0;0;0;0;0;0;0;0;0;;;;;;;
40;2719;52.39043825;14.94023904;29.08366534;0.597609562;0.398406375;0;0;0;0;0;0;1.593625498;0;0;0;0;0.398406375;0;0;0;0;0.199203187;0;0;0;0;0;0;0;0;0;0;0;0;0;0.398406375;0.198807157;1.181102362;0;0;0;0;0;25.95870206;28.28571429;0;0;0;0;0;0;0;0;0;0;;;;;;;
