"Age" "BB" "FF" "FS" "TC" "Pinus" "Picea" "Betula" "Alnus" "Juniperus" "Salix" "Ericaceae" "Poaceae" "Artemisia" "Cyperaceae" "Sphagnum" "Tree" "ROC"
1268 -0.94336126636274 0.00329726612200728 1.56813907768241 9.63809599982763 56.84803002 12.57035647 25.70356473 0.938086304 0.375234522 0 1.313320826 0.938086304 0.187617261 0.562851782 1.660516605 7239.98421536 0.0548047355118155
1320.5 -0.981182974313362 0.00328984932353423 1.55547883600869 9.63631360005088 60.49149338 14.5557656 21.55009452 0.56710775 0 0 0.56710775 0.378071834 0.189035917 1.701323251 1.305970149 7977.364468 0.0641513152478403
1374 -0.917316101903897 0.00329363993261882 1.58598432830067 10.1754970736756 58.79017013 15.31190926 22.11720227 1.323251418 0.378071834 0 0.756143667 0.56710775 0 0.56710775 1.305970149 8008.4047963 0.0515677170510585
1427 -0.777623769994857 0.00330791482210915 1.64563206025775 9.26120829987775 59.62264151 13.77358491 23.77358491 0.566037736 0.188679245 0 0.566037736 0.754716981 0.188679245 0.566037736 0.562851782 6338.79327224 0.0552261818694895
1477 -0.597853382712447 0.003330207364168 1.71635503716919 9.22969300001256 54.69924812 15.03759398 26.87969925 0.939849624 0 0 1.127819549 0.563909774 0.187969925 0.563909774 2.025782689 7505.76311156 0.0490903763575235
1528 -0.388295373524838 0.00336078672475203 1.79097584839371 10.5246028077395 56.22641509 16.98113208 22.64150943 1.320754717 0 0 1.509433962 0.566037736 0 0.566037736 2.21402214 5851.93339121 0.0432155611822845
1580 -0.196498612809648 0.00339901814989728 1.84489953476313 9.3694600014076 57.2778828 14.36672968 24.57466919 1.323251418 0 0 1.134215501 0.56710775 0 0.378071834 1.489757914 6700.91013607 0.0515012106239993
1633 -0.0614109376601806 0.00344411701666494 1.86060491960613 9.35222799941018 58.33333333 15.74074074 21.85185185 1.296296296 0.555555556 0 1.296296296 0.185185185 0.185185185 0.37037037 2.350813743 6550.4223 0.0511112983403552
1684 0.0189854056085753 0.00349211701350534 1.84622597829938 10.0789524924072 57.95246801 17.00182815 21.20658135 1.279707495 0 0 1.462522852 0.548446069 0 0.548446069 1.441441441 7708.2307092 0.0445485528752338
1734.5 0.0578865988790469 0.00354301176547688 1.8104156486309 9.76715619971475 54.04411765 18.19852941 24.63235294 0.735294118 0.367647059 0 0.367647059 0.183823529 0 1.102941176 1.090909091 5449.83060792 0.0553671183620417
1785.5 0.0634068623618347 0.00359679219595656 1.75881168510296 9.89064884961525 57.89473684 14.84962406 24.81203008 1.315789474 0.187969925 0 0.37593985 0.37593985 0 0.187969925 1.115241636 5312.82323906 0.0589917845262803
1835 0.0410594646572328 0.00365039176740735 1.69823110753933 9.70240499834976 53.14183124 16.15798923 25.13464991 2.333931777 0.359066427 0 1.615798923 0.718132855 0 0.538599641 1.241134752 5913.4501999 0.0473456957775847
1889 -0.0523187865056171 0.00370952368421292 1.60631293122652 9.42438740011147 54.59558824 21.69117647 19.66911765 1.838235294 0.367647059 0 1.102941176 0.183823529 0 0.551470588 0.910746812 6770.5164895 0.0459773196077544
1943 -0.209921652567882 0.00376849006447805 1.49376171248825 9.36966379956424 55.10204082 17.62523191 23.56215213 0.927643785 0 0 0.927643785 0.742115028 0.185528757 0.742115028 1.821493625 13971.1054428 0.0726769207476408
1981 -0.340745258027684 0.0038094760507742 1.41085464657367 9.99476136363636 54.89833641 21.44177449 20.70240296 0.924214418 0 0 0.554528651 0.739371534 0 0.554528651 1.277372263 10751.9086444 0.112126729185154
2008 -0.436302485778319 0.00383818777579052 1.35322878758005 9.4561495995468 60.14625229 14.44241316 21.20658135 1.096892139 0.182815356 0 0.731261426 0.365630713 0.182815356 0.914076782 2.146690519 12681.7384008 0.118303111795803
2034 -0.52578789324362 0.00386545323081795 1.30047698502126 9.64026079807391 54.18250951 16.34980989 27.75665399 0.760456274 0 0 0.190114068 0.380228137 0 0.190114068 1.682242991 12154.72842238 0.0981046490603205
2061 -0.612173260010337 0.00389329314322628 1.24992715485024 9.76979160165532 53.93258427 21.16104869 22.65917603 0.74906367 0 0 0.936329588 0.187265918 0 0.187265918 2.909090909 10907.89021045 0.122141140188252
2086 -0.682250725380187 0.00391859671158459 1.2083681246408 9.66368160059422 61.20527307 18.45574388 18.07909605 0.753295669 0 0 0.188323917 0.376647834 0 0.753295669 1.117318436 9208.59445166 0.141606785446473
2112.5 -0.742647731742439 0.00394487713152422 1.17087898142631 10.308902350758 51.54826958 19.48998179 25.31876138 0.910746812 0 0 0.546448087 1.275045537 0.182149362 0.72859745 0.902527076 10602.56459034 0.111566301050488
2137 -0.778782806612036 0.0039686416604575 1.1446336835295 10.2692269628901 49.63099631 22.1402214 24.1697417 1.47601476 0.36900369 0 0.553505535 0.73800738 0 0.922509225 1.275045537 10483.4346509 0.127523571704552
2165 -0.791094494904853 0.00399514789958616 1.12630907484575 9.57700376973791 51.01289134 21.1786372 23.75690608 1.289134438 0.184162063 0 1.473296501 0.552486188 0 0.552486188 1.451905626 15894.239631 0.1313789529783
2191 -0.778428406348199 0.00401910364988367 1.11876639262903 9.50303760012118 51.96998124 19.51219512 25.70356473 0.750469043 0.187617261 0 0.938086304 0 0.375234522 0.375234522 2.737226277 13165.4681464 0.116384410399302
2217 -0.74523788673628 0.00404241877914024 1.11908381575761 9.46803119977111 51.69172932 16.54135338 27.44360902 1.691729323 0.187969925 0 1.315789474 0.563909774 0 0.563909774 3.096539162 10070.6163202 0.113387668047439
2243.5 -0.694356822370465 0.00406549098309561 1.12580926741205 9.81329581176706 54.77941176 15.80882353 26.28676471 1.102941176 0 0 0.919117647 0.735294118 0 0.367647059 2.683363148 12753.5218248 0.105131069419078
2273 -0.621568983680308 0.0040903835108377 1.13921324093926 9.59496972569902 54.98154982 17.34317343 24.53874539 1.660516605 0 0 0.36900369 0.36900369 0 0.73800738 3.90070922 14656.4863438 0.103335304234773
2529 0.188769215532285 0.00427584632254036 1.31790764968767 10.9526291479821 52.71028037 14.76635514 27.6635514 1.308411215 0.186915888 0 1.682242991 0.560747664 0 0.747663551 2.372262774 12038.0803577 0.117202897735997
2557.5 0.291266198655074 0.00429430969804709 1.34129802296822 11.1078501805054 56.71077505 12.85444234 26.27599244 1.512287335 0 0 1.134215501 0.756143667 0.189035917 0.378071834 2.218114603 13349.7230486 0.119812076296378
2585 0.392676075480766 0.00431205369561335 1.36438704381351 10.127976534296 57.24907063 13.01115242 27.69516729 0.557620818 0 0 0.557620818 0.185873606 0 0.557620818 2.536231884 9697.79995228 0.112690129590227
2611.5 0.492272844031029 0.00432918611665419 1.38691354667712 9.83630412371134 49.20634921 21.03174603 26.38888889 0.595238095 0.396825397 0 0.595238095 0.595238095 0.396825397 0.595238095 2.325581395 9940.44384125 0.117232782407481
2639 0.597155732785278 0.00434711294166695 1.41037013156665 10.4098516339869 48.28244275 17.9389313 29.77099237 1.335877863 0.190839695 0 0.763358779 1.145038168 0 0.381679389 2.23880597 15352.390553 0.113269417290189
2666 0.701190866880714 0.00436496985306537 1.43326769746947 10.0253222222222 50.69582505 19.08548708 26.64015905 1.391650099 0.198807157 0 0.596421471 0 0.397614314 0.596421471 1.37254902 15304.2261896 0.11270260002656
2693 0.805807206497652 0.00438319819008038 1.45582536724394 9.64079281045752 51.08910891 20.1980198 25.34653465 0.594059406 0 0 0.792079208 0.594059406 0.198019802 0.99009901 1.750972763 13476.28238692 0.138194170149716
2719 0.902884013028567 0.00440118174764562 1.47587112435212 10.7087939393939 52.39043825 14.94023904 29.08366534 0.597609562 0.398406375 0 1.593625498 0.398406375 0.199203187 0.398406375 1.181102362 14201.90197211 0.194802399504407
2742 0.977967333106708 0.00441755002979719 1.48978479505247 11.3127402985075 51.09343936 16.89860835 28.82703777 0.994035785 0 0.198807157 0.397614314 0.795228628 0 0.795228628 1.949317739 14810.5414749 0.21682396801155
2767.5 1.04920421051637 0.00443624477207457 1.50102484924317 10.5861044776119 59.48103792 13.97205589 22.55489022 1.596806387 0.399201597 0 0.798403194 0.199600798 0 0.399201597 3.653846154 34478.7337701 0.179582892136497
2792 1.10599250649018 0.00445483395159508 1.50777896575035 9.88796417910448 57.4 11.2 27.8 1 0.8 0.4 0.2 0.8 0 0 3.66088632 15416.9339175 0.143987763682459
2820 1.15726178287076 0.00447690064040195 1.51081153582713 10.551037037037 65.26946108 10.37924152 21.35728543 0.399201597 0.199600798 0.399201597 0.598802395 0.399201597 0.199600798 0.199600798 2.529182879 54070.0680255 0.117529306976446
2847 1.19279176779873 0.0044990933474923 1.50902152294218 10.3575575342466 57.98816568 16.96252465 21.69625247 1.183431953 0.591715976 0 0.197238659 0.591715976 0.394477318 0.394477318 1.934235977 15086.0877692 0.107488668372438
2875.5 1.21635290908607 0.00452355977249559 1.50246077079694 9.63744452054794 57 11.6 28.4 0.6 0.4 0 0.8 0.8 0.2 0 3.100775194 29114.6520185 0.143017402119476
2902.5 1.22571206902014 0.00454772529552451 1.49201107355735 9.23978709677419 58.13492063 12.1031746 27.38095238 0.595238095 0.198412698 0.198412698 0.198412698 0.198412698 0 0.793650794 3.632887189 17063.0952334 0.146874502294871
2928.5 1.22302324212964 0.00457196457992521 1.4781978492908 11.5422129032258 56.48702595 14.97005988 25.5489022 0.598802395 0.598802395 0 0.598802395 0.798403194 0 0.199600798 1.377952756 18060.2891147 0.123633707784963
2953.5 1.20974532962427 0.00459616548540448 1.46159363538379 10.9602847826087 52.08747515 14.11530815 29.42345924 0.994035785 0.994035785 0 0.596421471 0.795228628 0 0.596421471 2.519379845 16039.9696044 0.13444700040145
2981 1.18367525426346 0.00462374380555543 1.43988767884994 9.97845507246377 59.3625498 12.35059761 25.69721116 1.195219124 0 0 0.199203187 0.398406375 0 0.398406375 2.33463035 27422.8316332 0.126171615912516
3008.5 1.14854838046749 0.00465235419396034 1.41553196355688 9.76002285714286 61.67664671 11.9760479 23.95209581 0.399201597 0 0 1.397205589 0.399201597 0 0.199600798 1.956947162 16204.98986837 0.13381729660105
3036.5 1.11545831128657 0.00468242398636982 1.39152730860951 11.1989177884615 55.68862275 13.77245509 26.54690619 2.195608782 0.199600798 0 0.598802395 0.598802395 0 0.199600798 1.956947162 23849.5535672 0.1431493542943
3063.5 1.08733747671117 0.00471226203824301 1.36949933421131 11.2892379807692 56.8627451 11.76470588 28.82352941 0.784313725 0 0 0.784313725 0 0 0.784313725 1.162790698 19428.6607116 0.123956477582494
3090.5 1.06289714675236 0.00474281015714955 1.34859620869896 11.3795581730769 54.56349206 13.49206349 28.37301587 1.19047619 0 0.198412698 0.396825397 0.396825397 0 0.793650794 1.945525292 18614.2857103 0.11634107471234
3116 1.04331345552566 0.00477222223580424 1.32995772567745 11.4648605769231 55.26838966 15.70576541 25.64612326 0.596421471 0.596421471 0 0.397614314 0.994035785 0 0.596421471 2.707930368 9980.68609001 0.117879501240755
3141 1.02722675105149 0.00480146270876088 1.31268915132467 11.3985807246171 54.6 12.2 30.8 0.8 0.6 0 0.8 0.2 0 0 1.380670611 19568.8644651 0.12927994155436
3166 1.01436978467243 0.00483098326189308 1.29650104384471 9.60833978233084 59.28143713 15.36926148 22.35528942 0.598802395 0.199600798 0 0.998003992 0.399201597 0 0.199600798 2.529182879 14311.9272235 0.128509963276971
3193 1.00396329508736 0.00486303014642286 1.280210406331 9.96263755125169 54.18326693 14.14342629 29.08366534 0.796812749 0.398406375 0 0.398406375 0.597609562 0 0.398406375 3.461538462 14994.8412701 0.117608761352846
3219 0.997366727762622 0.00489388823997384 1.2657335488811 10.3595860246008 54.15019763 15.61264822 27.66798419 1.581027668 0.197628458 0 0 0.395256917 0 0 0.393700787 3631.52536752 0.125177521236641
3250 0.993914442675738 0.00493044116494304 1.25007908196798 10.6306553502017 55.35714286 13.69047619 26.19047619 0.992063492 0.396825397 0.198412698 1.587301587 0.595238095 0 0.396825397 2.325581395 6599.36299011 0.107116268640429
3284 0.995637736808079 0.0049698714070341 1.23498831461797 10.167552765467 58.05168986 12.52485089 26.44135189 0.596421471 0.795228628 0.198807157 0.596421471 0 0 0.596421471 3.082851638 14793.40130468 0.0681285104361232
3320 0.999301965699161 0.00501048184888342 1.2203004267898 9.67720885221848 49.30693069 15.64356436 30.4950495 1.584158416 0.594059406 0.396039604 0.792079208 1.188118812 0 0 1.174168297 10402.1872496 0.0773578279479227
3360 1.00103869251806 0.00505361718570668 1.20456985860268 10.32115 53.2 13.4 31.4 1.2 0.4 0 0.4 0 0 0 1.768172888 10899.0192508 0.0763927111316893
3394.5 1.0010441400719 0.00508865305388776 1.19175438600218 10.5176673076923 57.88423154 13.37325349 27.34530938 0.598802395 0.199600798 0 0 0.199600798 0 0.199600798 1.571709234 5872.6094867 0.121191381082195
3425 1.0002846271285 0.00511762862313529 1.18117170212993 10.6914 60.2 12.6 26 0.8 0.2 0 0 0.2 0 0 1.57480315 12230.37478202 0.147835406569611
3457 0.999046803379486 0.005145739542629 1.17095864520304 10.685593877551 60.38461538 11.92307692 23.84615385 0.961538462 0.576923077 0.192307692 0.769230769 0.384615385 0 0.576923077 1.701323251 8547.52258954 0.107246573353389
3489 0.99769657821582 0.00517127785819056 1.16177332424877 9.8647612244898 59.28143713 9.780439122 26.74650699 1.796407186 0.199600798 0 1.596806387 0.199600798 0.199600798 0.199600798 0.792079208 11342.1581388 0.114661074377756
3521 0.996582536477503 0.00519391430155163 1.1537675867237 9.5840784 64.07185629 9.98003992 23.55289421 0.798403194 0.399201597 0 0.598802395 0.399201597 0 0.199600798 0.595238095 3653.76670123 0.141110738743755
3553 0.996057198342218 0.0052134597328435 1.14704393331117 9.5863312 57.42574257 12.07920792 26.93069307 0.792079208 0 0 0.99009901 0 0.198019802 0.99009901 1.174168297 2329.47559099 0.11763356513326
3647 0.98104812488836 0.00525189654228518 1.13077670607813 11.2728152721365 57.36738703 8.447937132 29.66601179 1.178781925 0.589390963 0 0.589390963 0.392927308 0.785854617 0.982318271 1.356589147 11627.057817 0.094692860433633
3680 0.963668583448626 0.00525835426801618 1.12461331812872 10.7937657189277 55.28942116 8.183632735 33.93213573 1.596806387 0 0 0 0.399201597 0.199600798 0.199600798 0.595238095 13217.9595174 0.096592995089543
3712 0.941133758387113 0.00526100350301015 1.11850118440973 10.3292328188465 54.29141717 10.17964072 33.13373253 0.598802395 0.199600798 0 0.998003992 0.199600798 0.199600798 0.199600798 0.792079208 15405.85160656 0.0944488435729366
3742.5 0.915043624339436 0.00526023009944212 1.11266867423661 9.88647489845654 54.96031746 9.325396825 30.75396825 2.182539683 0.595238095 0 0.396825397 0.595238095 0 0.793650794 1.945525292 11802.4816875 0.127449995869998
3774 0.883808996456776 0.0052561274620907 1.10669791600235 10.0243272727273 60.11904762 9.126984127 27.38095238 1.587301587 0 0 0.396825397 0.396825397 0 0.793650794 0.787401575 9999.8643396 0.126175355502621
3804 0.850462973593643 0.00524918648024676 1.1011241048996 10.3098409972299 61.61417323 12.00787402 22.83464567 0.787401575 0.393700787 0 0.787401575 0.590551181 0.196850394 0.590551181 1.167315175 10312.31801372 0.0926059612533139
3837 0.810226572428244 0.005238135091254 1.09521973199022 10.0194684210526 62.57425743 9.900990099 23.16831683 0.99009901 0.594059406 0 0.99009901 0.198019802 0.198019802 0.99009901 1.559454191 12733.8339845 0.0671326080078015
3867.5 0.770196571741279 0.00522484288581229 1.09003792749935 9.75109376731302 59.52380952 6.349206349 29.16666667 1.984126984 0 0 1.19047619 0.595238095 0 0.793650794 1.176470588 8626.4301346 0.0933257064157495
3900 0.729347425612939 0.00520762580085932 1.08587054954462 10.0075204435873 54.2 9.6 33.4 1 0.2 0 0.6 0 0 0.4 1.768172888 14642.4180003 0.153359512737534
3930.5 0.697160724104481 0.00518860083891365 1.0842989871402 10.4008733847637 60.27944112 9.181636727 26.54690619 2.195608782 0.199600798 0 0.798403194 0.199600798 0 0.199600798 1.571709234 6698.1963509 0.154719171076821
3964 0.668762255127024 0.00516464866860713 1.08520215139837 10.8329167791707 55.859375 8.7890625 31.4453125 1.953125 0 0.1953125 0.78125 0.5859375 0 0.390625 0.775193798 12575.1829381 0.117984402833383
3993.5 0.649722141077353 0.0051411227867966 1.08823920986782 10.2169075117371 51.57480315 9.05511811 35.82677165 1.968503937 0 0 0.393700787 0.787401575 0 0.393700787 1.167315175 6390.3482692 0.121520498447888
4024 0.636015776607816 0.00511445858948477 1.09364973569114 9.94216080047436 54.2 11 30.2 2.8 0 0.6 0.8 0.2 0 0 1.768172888 8785.4508005 0.109933228000242
4055 0.628342005899559 0.00508500871168673 1.10156041608133 10.0442810010871 58.90410959 8.806262231 28.57142857 2.544031311 0.195694716 0 0.391389432 0.195694716 0.195694716 0.195694716 0.968992248 5967.1384117 0.0687784831560994
4090 0.627222244461158 0.00504915382978835 1.11342314326432 10.0908859998867 49.70238095 10.01984127 35.11904762 3.571428571 0 0 0.198412698 0.198412698 0.198412698 0.793650794 0.982318271 9706.9390208 0.0838261451436447
4120 0.63281559040259 0.00501630433403255 1.12618548881468 10.0787479999838 52.9296875 9.375 32.03125 1.7578125 0.390625 0.390625 1.3671875 0.5859375 0 0.5859375 0.194931774 7702.9258037 0.092484992856422
4151 0.644951308625625 0.00498037430993986 1.14197430338511 10.2308613130007 51.57480315 8.464566929 35.03937008 2.362204724 0 0.196850394 0.984251969 0.393700787 0 0.590551181 0.587084149 7045.358966 0.0996530823612169
4183 0.66205493508714 0.00494136077879161 1.16053576515843 10.3753344187321 54.89021956 8.78243513 32.73453094 1.796407186 0.399201597 0 0.798403194 0 0 0.199600798 0.792079208 9062.2656509 0.120426082602843
4213 0.676613143778093 0.00490314542313059 1.17859615263359 10.4525890864068 58.46456693 8.858267717 31.1023622 1.181102362 0 0 0 0 0.393700787 0 0.392156863 7728.89243821 0.0983454572176464
4245 0.689515480220155 0.00486069935370626 1.19832393011301 10.1946749996598 59.60784314 9.411764706 26.47058824 1.764705882 0.588235294 0 0.392156863 0.196078431 0 0.588235294 0.584795322 6212.4409737 0.0852934975828913
4277 0.699088938807561 0.00481668272511163 1.21834739589382 9.92251500183708 56.57370518 8.565737052 31.07569721 2.19123506 0.199203187 0 0.398406375 0.398406375 0 0.398406375 1.181102362 6952.1245034 0.0975383566101637
4306 0.70432065412318 0.00477556608068144 1.23658220395596 10.6677422584398 56.74603175 8.333333333 30.95238095 1.984126984 0 0 0.992063492 0.198412698 0 0.396825397 0.591715976 5427.5357966 0.110200050025604
4333 0.705831021244478 0.00473631611267108 1.25350623546945 11.5274903478294 59.08183633 8.383233533 30.53892216 0.598802395 0 0 0.199600798 0.199600798 0.199600798 0.199600798 0.199203187 6874.87867536 0.0936758855847728
4366 0.702660725185488 0.00468722869570009 1.27390768732754 10.2275363996231 61.30952381 8.134920635 26.78571429 1.984126984 0.396825397 0 0.396825397 0.198412698 0 0.198412698 0.395256917 5535.639189 0.0778551094500705
4396 0.694448752410069 0.00464169689715673 1.29196367013657 10.0704984008794 53.58565737 9.362549801 33.66533865 1.792828685 0 0 0.597609562 0 0 0.597609562 0.198807157 7031.1259184 0.0978305041460212
4426 0.680600452041017 0.00459543017026492 1.30932490505538 9.91346040213572 60.3960396 7.722772277 27.52475248 2.574257426 0.198019802 0 0.396039604 0.198019802 0.198019802 0.396039604 0.590551181 4778.8007483 0.109962124904163
4456 0.660624896124982 0.00454858760127237 1.32574962118137 9.91182719988616 58.97435897 8.08678501 29.58579882 1.775147929 0 0 0.197238659 0.197238659 0.394477318 0.788954635 0.392927308 6377.5675729 0.0956402686449654
4505 0.618763437799668 0.00447126113084219 1.3514400236691 10.8557218750001 59.17159763 7.495069034 30.17751479 1.972386588 0.394477318 0 0.197238659 0.197238659 0 0.394477318 1.361867704 4980.21141812 0.0682233674232752
